NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, group
2,1.5933324305501093,0,0.0,2,............ 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0
3,2.2534537023810115,0,0.0,3,............ 2 2 0 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 2 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 0 2 2 0 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 0 2 2 2 0 2 2 0 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 1 0 2 2 2
4,1.8968268773279964,0,0.0,4,............ 2 2 0 2 2 2 1 2 0 2 2 2 2 0 2 2 0 2 2 0 0 2 2 2 2 2 2 2 2 2 2 2 0 2 2 0 2 2 2 0 0 2 0 2 2 0 2 2 2 3 2 2 2 0 2 0 2 2 2 2 2 2 2 2 2 2 2 0 2 0 2 0 2 0 2 1 2 2 0 2 0 0 2 2 0 0 0 2 1 2 2 2 2 2 2 3 0 2 2 2
5,1.7512435852958177,0,0.0,5,............ 0 0 1 0 2 0 3 2 1 0 0 2 2 0 2 2 1 2 0 1 1 2 2 0 2 0 2 2 0 2 2 2 0 0 2 0 2 0 2 1 0 2 1 0 0 1 0 2 2 4 2 0 0 0 2 0 0 2 2 0 0 0 2 2 2 2 2 1 2 0 2 1 0 0 2 3 2 2 1 2 0 0 2 2 0 0 0 2 3 2 2 0 0 0 2 4 1 2 2 0
6,1.6111082411544146,0,0.0,6,............ 0 0 3 0 2 0 5 2 3 1 1 2 0 1 0 0 1 0 0 1 1 2 0 1 2 0 2 0 0 0 0 0 1 1 0 1 0 1 2 1 1 0 1 0 1 3 0 0 0 4 2 0 0 1 0 1 1 0 2 1 1 0 2 2 0 0 2 1 2 1 2 1 0 1 0 5 0 0 1 0 1 1 0 2 1 1 1 0 3 0 0 0 1 0 0 4 1 2 0 0
7,1.468807959361298,0,0.0,7,............ 1 1 6 1 2 1 5 2 6 1 1 2 0 3 0 0 3 0 1 3 3 2 0 1 2 1 2 0 1 0 0 1 3 1 0 3 0 1 2 3 3 0 3 1 1 6 1 1 0 4 2 1 1 3 1 3 1 0 2 1 1 1 2 2 0 0 2 3 2 3 2 3 1 3 0 5 1 0 3 1 3 3 1 2 3 3 3 1 6 0 0 1 1 1 0 4 3 2 1 1
8,1.3999170666783547,0,0.0,8,............ 1 3 5 3 2 3 4 2 5 3 3 2 1 6 1 1 6 0 1 6 6 2 1 3 2 1 2 1 3 0 1 1 3 3 0 3 0 3 2 6 3 0 6 1 3 5 1 1 1 7 2 1 1 6 1 6 3 1 2 3 3 1 2 2 0 0 2 6 2 3 2 6 1 6 1 5 1 1 6 1 6 3 1 2 6 6 3 1 5 0 1 1 3 1 0 7 6 2 1 3
9,1.308714204629638,0,0.0,9,............ 3 3 5 3 2 3 7 2 4 6 6 2 1 5 1 1 5 0 3 5 5 2 1 6 2 3 2 1 3 0 1 3 6 6 0 6 0 6 2 5 6 0 5 3 6 4 3 3 1 8 2 3 3 5 3 5 6 1 2 6 6 3 2 2 0 0 2 5 2 6 2 5 3 6 1 4 3 1 5 3 6 6 3 2 5 5 6 3 4 0 1 3 6 3 0 8 5 2 3 3
10,1.460994469315124,0,0.0,10,............ 3 6 9 6 2 6 4 2 9 6 6 2 1 5 1 1 5 0 3 5 5 2 1 6 2 3 2 1 6 0 1 3 6 6 0 6 0 6 2 5 6 0 5 3 6 9 3 3 1 8 2 3 3 5 3 5 6 1 2 6 6 3 2 2 0 0 2 5 2 5 2 5 3 5 1 4 3 1 5 3 5 6 3 2 5 5 6 3 4 0 1 3 6 3 0 8 5 2 3 6
11,1.3962955590653154,0,0.0,11,............ 6 6 9 6 2 6 4 2 9 5 5 2 1 10 1 1 10 0 6 10 10 2 1 5 2 6 2 1 6 0 1 3 5 5 0 5 0 5 2 10 5 0 10 6 5 9 6 3 1 8 2 6 6 10 3 10 5 1 2 5 5 6 2 2 0 0 2 10 2 5 2 10 6 10 1 4 3 1 10 3 10 5 3 2 10 10 5 3 4 0 1 6 5 6 0 8 10 2 3 6
