NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, group
2,1.8859165130648878,0,0.0,2,............ 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0
3,2.652171105959118,0,0.0,3,............ 2 2 0 2 2 2 0 2 0 2 2 2 2 2 2 2 0 2 2 0 0 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 0 2 2 0 2 2 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 0 2 2 2 0 2 2 2 0 2 2 0 2 2 2 2 2 2 2 2 2 0 2 2 2 2 2 2 1 0 2 2 2
4,2.2808586239456763,0,0.0,4,............ 2 2 0 2 2 2 1 2 0 2 2 2 2 0 2 2 0 2 2 0 0 2 2 2 2 2 2 2 2 2 2 2 0 2 2 0 2 2 2 0 0 2 0 2 2 0 2 2 2 3 2 2 2 0 2 0 2 2 2 2 2 2 2 2 2 2 2 0 2 0 2 0 2 0 2 1 2 2 0 2 0 0 2 2 0 0 0 2 1 2 2 2 2 2 2 3 0 2 2 2
5,2.0129095220809914,0,0.0,5,............ 0 0 1 0 2 0 3 2 1 0 0 2 2 0 2 2 1 2 0 1 1 2 2 0 2 0 2 2 0 2 2 2 0 0 2 0 2 0 2 1 0 2 1 0 0 1 0 2 2 4 2 0 0 0 2 0 0 2 2 0 0 0 2 2 2 2 2 1 2 0 2 1 0 0 2 3 2 2 1 2 0 0 2 2 0 0 0 2 3 2 2 0 0 0 2 4 1 2 2 0
6,1.8131721940577377,0,0.0,6,............ 0 0 3 0 2 0 5 2 3 1 1 2 0 1 0 0 1 0 0 1 1 2 0 1 2 0 2 0 0 0 0 0 1 1 0 1 0 1 2 1 1 0 1 0 1 3 0 0 0 4 2 0 0 1 0 1 1 0 2 1 1 0 2 2 0 0 2 1 2 1 2 1 0 1 0 5 0 0 1 0 1 1 0 2 1 1 1 0 3 0 0 0 1 0 0 4 1 2 0 0
7,1.6352869170938735,0,0.0,7,............ 1 1 6 1 2 1 5 2 6 1 1 2 0 3 0 0 3 0 1 3 3 2 0 1 2 1 2 0 1 0 0 1 3 1 0 3 0 1 2 3 3 0 3 1 1 6 1 1 0 4 2 1 1 3 1 3 1 0 2 1 1 1 2 2 0 0 2 3 2 3 2 3 1 3 0 5 1 0 3 1 3 3 1 2 3 3 3 1 6 0 0 1 1 1 0 4 3 2 1 1
8,1.5460253239141322,0,0.0,8,............ 1 3 5 3 2 3 4 2 5 3 3 2 1 6 1 1 6 0 1 6 6 2 1 3 2 1 2 1 3 0 1 1 3 3 0 3 0 3 2 6 3 0 6 1 3 5 1 1 1 7 2 1 1 6 1 6 3 1 2 3 3 1 2 2 0 0 2 6 2 3 2 6 1 6 1 5 1 1 6 1 6 3 1 2 6 6 3 1 5 0 1 1 3 1 0 7 6 2 1 3
9,1.4434742633737474,0,0.0,9,............ 3 3 5 3 2 3 7 2 4 6 6 2 1 5 1 1 5 0 3 5 5 2 1 6 2 3 2 1 3 0 1 3 6 6 0 6 0 6 2 5 6 0 5 3 6 4 3 3 1 8 2 3 3 5 3 5 6 1 2 6 6 3 2 2 0 0 2 5 2 6 2 5 3 6 1 4 3 1 5 3 6 6 3 2 5 5 6 3 4 0 1 3 6 3 0 8 5 2 3 3
10,1.7150942314441775,0,0.0,10,............ 3 6 9 6 2 6 4 2 9 6 6 2 1 5 1 1 5 0 3 5 5 2 1 6 2 3 2 1 6 0 1 3 6 6 0 6 0 6 2 5 6 0 5 3 6 9 3 3 1 8 2 3 3 5 3 5 6 1 2 6 6 3 2 2 0 0 2 5 2 5 2 5 3 5 1 4 3 1 5 3 5 6 3 2 5 5 6 3 4 0 1 3 6 3 0 8 5 2 3 6
11,1.6143982624796913,0,0.0,11,............ 6 6 9 6 2 6 4 2 9 5 5 2 1 10 1 1 10 0 6 10 10 2 1 5 2 6 2 1 6 0 1 3 5 5 0 5 0 5 2 10 5 0 10 6 5 9 6 3 1 8 2 6 6 10 3 10 5 1 2 5 5 6 2 2 0 0 2 10 2 5 2 10 6 10 1 4 3 1 10 3 10 5 3 2 10 10 5 3 4 0 1 6 5 6 0 8 10 2 3 6
12,1.547516502045623,0,0.0,12,............ 6 5 4 5 2 5 7 2 4 5 5 2 1 9 1 1 9 0 6 9 9 2 1 10 2 6 2 1 5 0 1 3 10 10 0 10 0 5 2 9 10 0 9 6 5 4 6 3 1 11 2 6 6 9 3 9 5 1 2 10 5 6 2 2 0 0 2 9 2 10 2 9 6 10 1 7 3 1 9 3 10 10 3 2 9 9 10 3 7 0 1 6 5 6 0 11 9 2 3 5
13,1.4899199594064865,0,0.0,13,............ 6 5 4 5 2 5 7 2 4 10 10 2 1 12 1 1 12 0 6 12 12 2 1 10 2 6 2 1 5 0 1 3 9 10 0 9 0 10 2 12 9 0 12 6 10 4 6 3 1 11 2 6 6 9 3 9 10 1 2 10 10 6 2 2 0 0 2 12 2 9 2 12 6 9 1 7 3 1 12 3 9 9 3 2 9 9 9 3 7 0 1 6 10 6 0 11 12 2 3 5
14,1.4213948567160644,0,0.0,14,............ 6 5 4 5 2 5 7 2 4 10 10 2 1 12 1 1 12 0 6 12 12 2 1 10 13 6 2 1 5 0 1 3 9 10 0 9 0 10 13 12 9 0 12 6 10 4 6 3 1 11 13 6 6 9 3 9 10 1 2 10 10 6 2 13 0 0 2 12 13 9 2 12 6 9 1 7 3 1 12 3 9 9 3 2 9 9 9 3 7 0 1 6 10 6 0 11 12 2 3 5
15,1.3864405456977307,0,0.0,15,............ 6 5 7 5 2 5 8 2 7 10 10 2 1 12 1 1 4 0 6 4 4 2 1 9 13 6 2 1 5 0 1 3 9 9 0 9 0 10 13 4 9 0 4 6 10 7 6 3 1 14 13 6 6 12 3 12 10 1 2 9 10 6 2 13 0 0 2 4 13 12 2 4 6 12 1 8 3 1 4 3 12 9 3 2 12 12 9 3 8 0 1 6 10 6 0 14 4 2 3 5
16,1.3580115195088938,0,0.0,16,............ 6 5 15 5 2 5 8 2 7 10 10 2 1 4 1 1 4 0 6 4 15 2 1 9 13 6 2 1 5 0 1 3 9 9 0 9 0 10 13 4 9 0 15 6 10 15 6 3 1 14 13 6 6 4 3 4 10 1 2 9 10 6 2 13 0 0 2 4 13 12 2 4 6 12 1 8 3 1 4 3 12 9 3 2 4 4 9 3 8 0 1 6 10 6 0 14 15 2 3 5
17,1.383463379080483,0,0.0,17,............ 6 5 7 5 2 5 16 2 8 10 10 2 1 4 1 1 15 0 6 4 15 2 1 9 13 6 2 1 5 0 1 3 9 9 0 9 0 10 13 15 9 0 15 6 10 7 6 3 1 14 13 6 6 4 3 4 10 1 2 9 10 6 2 13 0 0 2 15 13 12 2 15 6 12 1 16 3 1 4 3 12 9 3 2 4 4 9 3 16 0 1 6 10 6 0 14 15 2 3 5
18,1.355110070529159,0,0.0,18,............ 6 5 7 5 2 5 16 2 8 10 10 2 1 4 1 1 15 0 6 4 15 2 1 17 13 6 2 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 7 6 3 1 14 13 6 6 4 3 4 10 1 2 17 10 6 2 13 0 0 2 15 13 9 2 15 6 12 1 16 3 1 4 3 12 9 3 2 4 4 9 3 16 0 1 6 10 6 0 14 15 2 3 5
19,1.3662499292151784,0,0.0,19,............ 6 5 7 5 2 5 11 2 16 10 10 2 1 4 1 1 15 0 6 4 15 2 1 17 13 6 2 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 7 6 3 1 18 13 6 6 4 3 4 10 1 2 17 10 6 2 13 0 0 2 15 13 9 2 15 6 12 1 11 3 1 4 3 12 9 3 2 4 4 9 3 16 0 1 6 10 6 0 18 15 2 3 5
20,1.3079760063505184,0,0.0,20,............ 6 5 7 5 19 5 11 2 16 10 10 19 1 4 1 1 15 0 6 4 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 7 6 3 1 18 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 9 19 15 6 12 1 11 3 1 4 3 12 9 3 19 4 4 9 3 16 0 1 6 10 6 0 18 15 19 3 5
21,1.2874503635131949,0,0.0,21,............ 6 5 7 5 19 5 11 2 16 10 10 19 1 4 1 1 15 0 6 4 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 7 6 3 1 18 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 11 3 1 4 3 12 9 3 19 4 4 9 3 16 0 1 6 10 6 0 18 15 19 3 5
22,1.278793278066692,0,0.0,22,............ 6 5 8 5 19 5 21 2 16 10 10 19 1 4 1 1 15 0 6 4 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 18 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 11 3 1 4 3 12 9 3 19 4 4 9 3 11 0 1 6 10 6 0 18 15 19 3 5
23,1.2972614899628694,0,0.0,23,............ 6 5 8 5 19 5 21 2 22 10 10 19 1 4 1 1 15 0 6 4 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 18 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 11 3 1 4 3 12 9 3 19 4 4 9 3 11 0 1 6 10 6 0 18 15 19 3 5
24,2.0235981697622605,0,0.0,24,............ 6 5 8 5 19 5 21 2 22 10 10 19 1 4 1 1 15 0 6 4 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 23 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 11 3 1 4 3 12 9 3 19 4 4 9 3 11 0 1 6 10 6 0 23 15 19 3 5
25,1.981517124307276,0,0.0,25,............ 6 5 8 5 19 5 21 2 22 10 10 19 1 4 1 1 15 0 6 4 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 23 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 11 3 1 4 3 12 9 3 19 4 4 9 3 11 0 1 6 10 6 0 23 15 19 3 5
26,1.9533055662128551,0,0.0,26,............ 6 5 8 5 19 5 21 2 22 10 10 19 1 4 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 23 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 11 3 1 25 3 12 9 3 19 4 4 9 3 11 0 1 6 10 6 0 23 15 19 3 5
27,1.9304531973386534,0,0.0,27,............ 6 5 8 5 19 5 21 2 22 10 10 19 1 26 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 23 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 11 3 1 25 3 12 9 3 19 4 4 9 3 11 0 1 6 10 6 0 23 15 19 3 5
28,1.901589835174068,0,0.0,28,............ 6 5 8 5 19 5 14 2 11 10 10 19 1 26 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 27 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 21 3 1 25 3 12 9 3 19 4 4 9 3 21 0 1 6 10 6 0 27 15 19 3 5
29,1.86134584144816,0,0.0,29,............ 6 5 8 5 19 5 23 2 21 10 10 19 1 26 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 18 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 14 3 1 25 3 12 9 3 19 4 4 9 3 14 0 1 6 10 6 0 18 15 19 3 5
30,1.9989054232800814,0,0.0,30,............ 6 5 8 5 19 5 14 2 21 10 10 19 1 26 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 18 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 29 3 1 25 3 12 9 3 19 4 4 9 3 29 0 1 6 10 6 0 18 15 19 3 5
31,1.92303478331671,0,0.0,31,............ 6 5 8 5 19 5 23 2 21 10 10 19 1 26 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 28 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 14 3 1 25 3 12 9 3 19 4 4 9 3 14 0 1 6 10 6 0 28 15 19 3 5
32,1.9541561155009641,0,0.0,32,............ 6 5 8 5 19 5 27 2 21 10 10 19 1 26 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 28 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 23 3 1 25 3 12 9 3 19 4 4 9 3 14 0 1 6 10 6 0 28 15 19 3 5
33,1.9240878926647156,0,0.0,33,............ 6 5 8 5 19 5 18 2 21 10 10 19 1 26 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 27 3 1 25 3 12 9 3 19 4 4 9 3 23 0 1 6 10 6 0 32 15 19 3 5
34,1.9405197797189562,0,0.0,34,............ 6 5 8 5 19 5 31 2 21 10 10 19 1 26 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 27 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 32 15 19 3 5
35,1.9164198948562379,0,0.0,35,............ 6 5 8 5 19 5 31 2 21 10 10 19 1 26 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 27 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 32 15 19 3 5
36,1.9452234159254158,0,0.0,36,............ 6 5 8 5 19 5 28 2 21 10 10 19 1 26 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 27 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 32 15 19 3 5
37,1.8458029632427473,0,0.0,37,............ 6 5 8 5 19 5 28 2 21 10 10 19 1 26 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 18 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 32 15 19 3 5
38,1.8505905671436758,0,0.0,38,............ 6 5 8 5 19 5 28 2 21 10 10 19 1 26 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 37 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 18 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 32 15 19 3 5
39,1.8414925544550989,0,0.0,39,............ 6 5 8 5 19 5 28 2 21 10 10 19 1 26 1 1 38 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 38 9 0 15 6 10 37 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 38 13 20 19 38 6 12 1 18 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 32 15 19 3 5
40,1.8348127109742176,0,0.0,40,............ 6 5 8 5 19 5 28 2 21 10 10 19 1 26 1 1 38 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 38 9 0 15 6 10 37 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 38 13 20 19 38 6 12 1 18 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 32 15 19 3 5
