NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, group
16,1.6072265876522813,0,0.0,16,............ 3 9 2 3 1 1 7 1 14 4 4 1 1 3 1 2 1 1 2 10 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 8 0 1 10 1 0 5 3 2 9 15 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 6 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 3 2 0 9 15 3 9 9 1
17,1.5644613205952513,0,0.0,17,............ 3 9 2 3 1 1 7 1 14 4 4 1 1 3 1 2 1 1 2 10 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 8 0 1 16 1 0 5 3 2 9 15 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 6 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 3 2 0 9 15 3 9 9 1
18,1.537006796454924,0,0.0,18,............ 17 9 2 17 1 1 7 1 14 4 4 1 1 17 1 2 1 1 2 10 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 8 0 1 16 1 0 5 3 2 9 15 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 6 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 15 17 9 9 1
19,1.6429693736307573,0,0.0,19,............ 17 9 2 17 1 1 7 1 14 4 4 1 1 17 1 2 1 1 2 10 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 8 0 1 16 1 0 5 3 2 9 15 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 6 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 15 17 9 9 1
20,1.6895683309466456,0,0.0,20,............ 17 9 2 17 1 1 7 1 19 4 4 1 1 17 1 2 1 1 2 10 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 8 0 1 16 1 0 5 3 2 9 15 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 6 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 15 17 9 9 1
21,1.6616699509256354,0,0.0,21,............ 17 9 2 17 1 1 13 1 14 4 4 1 1 17 1 2 1 1 2 10 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 8 0 1 16 1 0 19 3 2 9 18 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 6 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 18 17 9 9 1
22,1.5991639741353092,0,0.0,22,............ 17 9 2 17 1 1 13 1 14 4 4 1 1 17 1 2 1 1 2 10 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 8 0 1 16 1 0 19 3 2 9 18 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 6 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 18 17 9 9 1
23,1.7578747264857513,0,0.0,23,............ 17 9 2 17 1 1 13 1 7 4 4 1 1 17 1 2 1 1 2 10 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 8 0 1 16 1 0 19 3 2 9 22 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 6 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 22 17 9 9 1
24,1.758267093382071,0,0.0,24,............ 17 9 2 17 1 1 23 1 7 4 4 1 1 17 1 2 1 1 2 10 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 8 0 1 16 1 0 19 3 2 9 22 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 6 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 22 17 9 9 1
25,1.7558372209268396,0,0.0,25,............ 17 9 2 17 1 1 23 1 7 4 4 1 1 17 1 2 1 1 2 10 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 8 0 1 16 1 0 19 3 2 9 22 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 8 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 22 17 9 9 1
26,1.7796410619610994,0,0.0,26,............ 17 9 2 17 1 1 23 1 7 4 4 1 1 17 1 2 1 1 2 10 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 8 0 1 16 1 0 19 3 2 9 22 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 8 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 22 17 9 9 1
27,1.7953320116401956,1,0.037037037037037035,26,............ 17 9 2 17 1 1 15 1 13 4 4 1 1 17 1 2 1 1 2 10 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 8 0 1 16 1 0 19 3 2 9 22 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 8 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 22 17 9 9 1
