NumberOfGroups, ComputingTime
2 , 0.005
3 , 0.0055
4 , 0.009
5 , 0.0109
6 , 0.015
7 , 0.0189
8 , 0.019
9 , 0.023
10 , 0.0249
11 , 0.0305
12 , 0.0404
13 , 0.0375
14 , 0.0522
15 , 0.0544
16 , 0.0714
17 , 0.0753
18 , 0.0821
19 , 0.0998
20 , 0.1107
21 , 0.1026
22 , 0.106
23 , 0.1042
24 , 0.1207
25 , 0.1162
26 , 0.1209
27 , 0.1302
28 , 0.1344
29 , 0.1405
30 , 0.1478
31 , 0.1578
32 , 0.1584
33 , 0.1523
34 , 0.1735
35 , 0.1817
36 , 0.174
37 , 0.184
38 , 0.2174
39 , 0.1775
40 , 0.2258
41 , 0.2138
42 , 0.1854
43 , 0.2409
44 , 0.2455
45 , 0.2046
46 , 0.2534
47 , 0.2059
48 , 0.2575
49 , 0.2442
50 , 0.2567
51 , 0.26
52 , 0.244
53 , 0.2118
54 , 0.2425
55 , 0.2596
56 , 0.2572
57 , 0.2106
58 , 0.204
59 , 0.2034
60 , 0.2991
61 , 0.2465
62 , 0.2783
63 , 0.2106
64 , 0.2466
65 , 0.2632
66 , 0.1904
67 , 0.2289
68 , 0.2086
69 , 0.2534
70 , 0.2424
71 , 0.2535
72 , 0.2111
73 , 0.237
74 , 0.2214
75 , 0.2581
76 , 0.2223
77 , 0.2072
78 , 0.2023
79 , 0.2263
80 , 0.219
81 , 0.2311
82 , 0.2461
83 , 0.2738
84 , 0.2238
85 , 0.2434
86 , 0.2061
87 , 0.282
88 , 0.2402
89 , 0.2799
90 , 0.2846
91 , 0.2033
92 , 0.2573
93 , 0.2616
94 , 0.2177
95 , 0.2489
96 , 0.308
97 , 0.2814
98 , 0.2446
99 , 0.2637
100 , 0.2578
101 , 0.243
102 , 0.2455
103 , 0.2423
104 , 0.2543
105 , 0.2807
106 , 0.2858
107 , 0.2531
108 , 0.3096
109 , 0.2767
110 , 0.2905
111 , 0.2647
112 , 0.234
113 , 0.2212
114 , 0.2192
115 , 0.2579
116 , 0.256
117 , 0.245
118 , 0.2076
119 , 0.2508
120 , 0.2371
121 , 0.2793
122 , 0.2567
123 , 0.2343
124 , 0.2769
125 , 0.2612
126 , 0.2831
127 , 0.2775
128 , 0.315
129 , 0.2404
130 , 0.2648
131 , 0.2758
132 , 0.2735
133 , 0.2415
134 , 0.2501
135 , 0.2476
136 , 0.2648
137 , 0.2276
138 , 0.2304
139 , 0.2254
140 , 0.2348
141 , 0.2531
142 , 0.2379
143 , 0.2523
144 , 0.2538
145 , 0.2231
146 , 0.2741
147 , 0.2831
148 , 0.26
149 , 0.2613
150 , 0.2297
151 , 0.2452
152 , 0.2998
153 , 0.28
154 , 0.2791
155 , 0.2528
156 , 0.2854
157 , 0.2703
158 , 0.229
159 , 0.2083
160 , 0.2606
161 , 0.2251
162 , 0.2316
163 , 0.2485
164 , 0.2948
165 , 0.2572
166 , 0.2284
167 , 0.2654
168 , 0.2212
169 , 0.281
170 , 0.2699
171 , 0.2656
172 , 0.2607
173 , 0.2278
174 , 0.266
175 , 0.2481
176 , 0.2484
177 , 0.2475
178 , 0.225
179 , 0.243
180 , 0.2248
181 , 0.209
182 , 0.2331
183 , 0.257
184 , 0.2587
185 , 0.244
186 , 0.2169
187 , 0.2729
188 , 0.2818
189 , 0.2489
190 , 0.2345
191 , 0.2441
192 , 0.2673
193 , 0.2288
194 , 0.2583
195 , 0.2537
196 , 0.2113
197 , 0.2481
198 , 0.2385
199 , 0.2476
200 , 0.2149
201 , 0.2086
