NumberOfGroups, ComputingTime
2 , 0.0048
3 , 0.0056
4 , 0.0087
5 , 0.0101
6 , 0.0143
7 , 0.021
8 , 0.0202
9 , 0.0227
10 , 0.0254
11 , 0.031
12 , 0.0387
13 , 0.0378
14 , 0.0539
15 , 0.0601
16 , 0.0697
17 , 0.0844
18 , 0.0902
19 , 0.0893
20 , 0.1155
21 , 0.1018
22 , 0.1209
23 , 0.1096
24 , 0.114
25 , 0.1157
26 , 0.1336
27 , 0.1257
28 , 0.1484
29 , 0.1358
30 , 0.1546
31 , 0.1816
32 , 0.1444
33 , 0.1716
34 , 0.1663
35 , 0.1816
36 , 0.1772
37 , 0.1968
38 , 0.1846
39 , 0.2327
40 , 0.2047
41 , 0.199
42 , 0.2341
43 , 0.1839
44 , 0.2716
45 , 0.2449
46 , 0.2571
47 , 0.2248
48 , 0.2408
49 , 0.2274
50 , 0.2878
51 , 0.2707
52 , 0.2278
53 , 0.2716
54 , 0.2335
55 , 0.2264
56 , 0.2568
57 , 0.2582
58 , 0.1987
59 , 0.2161
60 , 0.2417
61 , 0.2177
62 , 0.2524
63 , 0.2037
64 , 0.2172
65 , 0.2368
66 , 0.2254
67 , 0.2383
68 , 0.2263
69 , 0.2571
70 , 0.2241
71 , 0.2176
72 , 0.2341
73 , 0.2338
74 , 0.2165
75 , 0.311
76 , 0.2619
77 , 0.2059
78 , 0.2324
79 , 0.225
80 , 0.2939
81 , 0.227
82 , 0.2391
83 , 0.2372
84 , 0.2376
85 , 0.2957
86 , 0.2413
87 , 0.2919
88 , 0.2205
89 , 0.3133
90 , 0.2589
91 , 0.2739
92 , 0.2249
93 , 0.2123
94 , 0.2595
95 , 0.2454
96 , 0.2617
97 , 0.2212
98 , 0.2831
99 , 0.2314
100 , 0.2485
101 , 0.2319
102 , 0.2823
103 , 0.2276
104 , 0.2497
105 , 0.2771
106 , 0.2925
107 , 0.2325
108 , 0.3405
109 , 0.3036
110 , 0.2876
111 , 0.2364
112 , 0.2199
113 , 0.2345
114 , 0.2918
115 , 0.2278
116 , 0.304
117 , 0.268
118 , 0.208
119 , 0.2971
120 , 0.2521
121 , 0.2599
122 , 0.2156
123 , 0.2591
124 , 0.2465
125 , 0.2469
126 , 0.2098
127 , 0.323
128 , 0.2545
129 , 0.2561
130 , 0.1904
131 , 0.2848
132 , 0.2256
133 , 0.2305
134 , 0.2954
135 , 0.2743
136 , 0.2713
137 , 0.2424
138 , 0.3056
139 , 0.2879
140 , 0.2056
141 , 0.2592
142 , 0.2987
143 , 0.2723
144 , 0.2753
145 , 0.2869
146 , 0.2364
147 , 0.2442
148 , 0.2449
149 , 0.2474
150 , 0.2501
151 , 0.229
152 , 0.2484
153 , 0.2334
154 , 0.2633
155 , 0.2174
156 , 0.2747
157 , 0.2397
158 , 0.3003
159 , 0.1929
160 , 0.2535
161 , 0.2632
162 , 0.2538
163 , 0.2635
164 , 0.2232
165 , 0.2255
166 , 0.2835
167 , 0.2288
168 , 0.3065
169 , 0.2036
170 , 0.2472
171 , 0.2498
172 , 0.2643
173 , 0.2256
174 , 0.2738
175 , 0.2525
176 , 0.2426
177 , 0.2714
178 , 0.2975
179 , 0.2603
180 , 0.2789
181 , 0.2808
182 , 0.2325
183 , 0.1916
184 , 0.2964
185 , 0.2006
186 , 0.2415
187 , 0.2537
188 , 0.2347
189 , 0.2633
190 , 0.3017
191 , 0.2589
192 , 0.2574
193 , 0.2637
194 , 0.2522
195 , 0.2305
196 , 0.3315
197 , 0.2507
198 , 0.2465
199 , 0.2628
200 , 0.262
201 , 0.2493
