NumberOfGroups, ComputingTime
2 , 0.0064
3 , 0.0042
4 , 0.0069
5 , 0.0087
6 , 0.0151
7 , 0.0235
8 , 0.0214
9 , 0.0217
10 , 0.0239
11 , 0.0285
12 , 0.039
13 , 0.04
14 , 0.0573
15 , 0.0533
16 , 0.0724
17 , 0.079
18 , 0.0939
19 , 0.1011
20 , 0.1168
21 , 0.0947
22 , 0.1181
23 , 0.1024
24 , 0.1098
25 , 0.1306
26 , 0.1461
27 , 0.1375
28 , 0.1464
29 , 0.1534
30 , 0.1625
31 , 0.165
32 , 0.1622
33 , 0.1701
34 , 0.1797
35 , 0.1845
36 , 0.1704
37 , 0.2016
38 , 0.1986
39 , 0.1757
40 , 0.2162
41 , 0.245
42 , 0.2236
43 , 0.19
44 , 0.2058
45 , 0.2503
46 , 0.2212
47 , 0.27
48 , 0.2806
49 , 0.266
50 , 0.2515
51 , 0.2866
52 , 0.2227
53 , 0.2265
54 , 0.2562
55 , 0.2295
56 , 0.2683
57 , 0.2752
58 , 0.2402
59 , 0.2789
60 , 0.238
61 , 0.1925
62 , 0.2373
63 , 0.2348
64 , 0.2486
65 , 0.2157
66 , 0.2308
67 , 0.2213
68 , 0.246
69 , 0.2145
70 , 0.1852
71 , 0.2355
72 , 0.2091
73 , 0.2173
74 , 0.2226
75 , 0.2405
76 , 0.2485
77 , 0.2797
78 , 0.2088
79 , 0.2423
80 , 0.2381
81 , 0.2517
82 , 0.3207
83 , 0.2437
84 , 0.2421
85 , 0.2266
86 , 0.2417
87 , 0.2697
88 , 0.2029
89 , 0.2575
90 , 0.2537
91 , 0.1965
92 , 0.2396
93 , 0.239
94 , 0.2888
95 , 0.2486
96 , 0.2556
97 , 0.2416
98 , 0.2932
99 , 0.3037
100 , 0.3353
101 , 0.2293
102 , 0.2604
103 , 0.259
104 , 0.2046
105 , 0.2433
106 , 0.2811
107 , 0.29
108 , 0.2399
109 , 0.2252
110 , 0.197
111 , 0.2274
112 , 0.2338
113 , 0.2348
114 , 0.25
115 , 0.2295
116 , 0.2345
117 , 0.2489
118 , 0.2721
119 , 0.2544
120 , 0.2275
121 , 0.1973
122 , 0.2455
123 , 0.2467
124 , 0.2384
125 , 0.2974
126 , 0.2804
127 , 0.2597
128 , 0.248
129 , 0.2966
130 , 0.3262
131 , 0.2419
132 , 0.225
133 , 0.2495
134 , 0.244
135 , 0.2586
136 , 0.26
137 , 0.2433
138 , 0.2488
139 , 0.2873
140 , 0.2613
141 , 0.2126
142 , 0.2267
143 , 0.2219
144 , 0.2644
145 , 0.2211
146 , 0.2448
147 , 0.3165
148 , 0.2559
149 , 0.2632
150 , 0.2486
151 , 0.2257
152 , 0.249
153 , 0.25
154 , 0.2575
155 , 0.2322
156 , 0.3163
157 , 0.2431
158 , 0.2572
159 , 0.2337
160 , 0.2256
161 , 0.2649
162 , 0.2632
163 , 0.2671
164 , 0.2539
165 , 0.2363
166 , 0.2527
167 , 0.2466
168 , 0.2582
169 , 0.2449
170 , 0.2565
171 , 0.2294
172 , 0.2538
173 , 0.2329
174 , 0.2363
175 , 0.2038
176 , 0.2471
177 , 0.2729
178 , 0.2326
179 , 0.2695
180 , 0.2583
181 , 0.2634
182 , 0.2753
183 , 0.2265
184 , 0.3159
185 , 0.268
186 , 0.2255
187 , 0.2449
188 , 0.2698
189 , 0.2363
190 , 0.2624
191 , 0.2589
192 , 0.2532
193 , 0.2964
194 , 0.2416
195 , 0.2675
196 , 0.2281
197 , 0.2575
198 , 0.226
199 , 0.2879
200 , 0.2303
201 , 0.3048
