NumberOfGroups, ComputingTime
2 , 0.0046
3 , 0.0054
4 , 0.009
5 , 0.0102
6 , 0.0155
7 , 0.0202
8 , 0.0176
9 , 0.0239
10 , 0.0259
11 , 0.0287
12 , 0.0359
13 , 0.0376
14 , 0.0558
15 , 0.0619
16 , 0.0705
17 , 0.0724
18 , 0.0857
19 , 0.0859
20 , 0.1071
21 , 0.0993
22 , 0.1106
23 , 0.1197
24 , 0.12
25 , 0.1183
26 , 0.1422
27 , 0.1171
28 , 0.1431
29 , 0.1569
30 , 0.1342
31 , 0.1428
32 , 0.171
33 , 0.1642
34 , 0.1868
35 , 0.1709
36 , 0.1891
37 , 0.2072
38 , 0.1735
39 , 0.2152
40 , 0.1965
41 , 0.2111
42 , 0.2229
43 , 0.2312
44 , 0.2252
45 , 0.2043
46 , 0.2379
47 , 0.225
48 , 0.2441
49 , 0.2511
50 , 0.2686
51 , 0.2747
52 , 0.2169
53 , 0.285
54 , 0.2442
55 , 0.2513
56 , 0.2483
57 , 0.2322
58 , 0.2125
59 , 0.2555
60 , 0.2624
61 , 0.255
62 , 0.2515
63 , 0.2624
64 , 0.2661
65 , 0.2095
66 , 0.1918
67 , 0.2343
68 , 0.1854
69 , 0.238
70 , 0.1855
71 , 0.2241
72 , 0.2367
73 , 0.2128
74 , 0.3116
75 , 0.2446
76 , 0.2393
77 , 0.2289
78 , 0.2353
79 , 0.2385
80 , 0.2674
81 , 0.2085
82 , 0.2008
83 , 0.2796
84 , 0.2763
85 , 0.2416
86 , 0.2992
87 , 0.2394
88 , 0.291
89 , 0.2618
90 , 0.2786
91 , 0.2603
92 , 0.2616
93 , 0.2718
94 , 0.2219
95 , 0.3083
96 , 0.2977
97 , 0.3709
98 , 0.2386
99 , 0.2587
100 , 0.3027
101 , 0.2139
102 , 0.2533
103 , 0.2945
104 , 0.2189
105 , 0.2269
106 , 0.2975
107 , 0.2996
108 , 0.1943
109 , 0.2846
110 , 0.2575
111 , 0.2181
112 , 0.2764
113 , 0.2333
114 , 0.3142
115 , 0.2767
116 , 0.2004
117 , 0.278
118 , 0.2606
119 , 0.2721
120 , 0.3312
121 , 0.2748
122 , 0.2433
123 , 0.2448
124 , 0.2196
125 , 0.2411
126 , 0.2248
127 , 0.2571
128 , 0.239
129 , 0.241
130 , 0.29
131 , 0.2335
132 , 0.3018
133 , 0.3079
134 , 0.2257
135 , 0.2651
136 , 0.2565
137 , 0.2347
138 , 0.2646
139 , 0.233
140 , 0.2176
141 , 0.2145
142 , 0.2549
143 , 0.2148
144 , 0.2842
145 , 0.2333
146 , 0.2254
147 , 0.2852
148 , 0.2582
149 , 0.2978
150 , 0.3144
151 , 0.2583
152 , 0.2527
153 , 0.2755
154 , 0.2362
155 , 0.2327
156 , 0.2239
157 , 0.2512
158 , 0.2586
159 , 0.2662
160 , 0.2621
161 , 0.235
162 , 0.2692
163 , 0.2234
164 , 0.274
165 , 0.2909
166 , 0.2739
167 , 0.2522
168 , 0.2334
169 , 0.2
170 , 0.2156
171 , 0.2272
172 , 0.2527
173 , 0.2296
174 , 0.2497
175 , 0.2719
176 , 0.2427
177 , 0.249
178 , 0.3346
179 , 0.2888
180 , 0.2141
181 , 0.2642
182 , 0.2837
183 , 0.2343
184 , 0.2924
185 , 0.3075
186 , 0.2297
187 , 0.2613
188 , 0.2597
189 , 0.2624
190 , 0.2559
191 , 0.2528
192 , 0.2442
193 , 0.281
194 , 0.233
195 , 0.2389
196 , 0.276
197 , 0.2958
198 , 0.2117
199 , 0.2332
200 , 0.2891
201 , 0.2456
