NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, group
14,1.838517545258739,0,0.0,14,............ 2 0 6 1 1 1 13 10 9 4 9 5 9 11 10 2 3 5 9 2 4 10 1 11 1 1 9 9 10 2 1 1 1 0 9 6 8 6 0 4 9 1 9 5 9 2 9 2 6 7 5 1 0 9 1 6 0 5 2 6 1 2 11 2 2 4 9 6 9 6 0 11 6 6 0 4 6 8 4 0 0 6 10 2 4 4 1 2 13 0 0 9 9 11 1 5 3 1 6 11
15,1.7468632335249112,0,0.0,15,............ 2 0 6 1 11 11 14 10 1 3 1 5 1 11 10 2 13 5 1 2 3 10 11 6 11 11 1 1 10 2 11 11 11 9 1 4 8 4 9 3 1 11 1 5 1 2 1 2 4 7 5 11 9 1 11 4 9 5 2 4 11 2 6 2 2 3 1 4 1 4 0 6 4 4 9 4 4 8 3 9 9 4 10 2 3 3 11 2 14 0 0 1 9 6 11 5 13 11 4 6
16,1.661477382704495,0,0.0,16,............ 2 0 6 11 15 15 14 10 11 3 1 5 11 15 10 2 13 5 11 2 3 10 15 6 15 15 1 11 10 2 15 15 15 9 11 4 8 4 9 3 11 15 1 5 11 2 11 2 4 7 5 15 9 11 15 4 9 5 2 4 15 2 6 2 2 3 1 4 11 4 0 6 4 4 9 4 4 8 3 9 9 4 10 2 3 3 15 2 14 0 0 1 1 6 15 5 13 11 4 6
17,1.579019875003038,0,0.0,17,............ 2 0 4 15 6 6 14 10 15 16 11 5 15 6 10 2 13 5 15 2 16 10 6 4 6 6 11 15 10 2 6 6 6 9 15 3 8 3 9 16 15 6 11 5 15 2 15 2 3 7 5 6 9 15 6 3 9 5 2 3 6 2 4 2 2 16 11 3 15 3 0 4 3 3 9 3 3 8 16 9 9 3 10 2 16 16 6 2 14 0 0 11 1 4 6 5 13 15 3 4
18,1.543915925645773,0,0.0,18,............ 2 0 3 6 4 4 7 10 15 16 11 5 15 4 10 2 14 5 15 2 13 10 6 3 6 6 15 15 10 2 6 6 6 9 15 3 8 16 9 16 15 6 11 5 15 2 15 2 16 12 5 4 9 15 6 3 9 5 2 3 6 2 4 2 2 13 15 3 15 3 0 4 3 3 9 16 3 8 13 9 9 16 10 2 16 13 6 2 7 0 0 15 1 3 6 5 14 6 3 4
19,1.503666702943528,0,0.0,19,............ 2 0 3 6 4 4 18 10 15 13 11 5 15 4 10 2 14 5 6 2 14 10 4 3 4 4 15 15 10 2 4 4 4 9 15 16 8 16 9 13 6 4 11 5 6 2 15 2 16 12 5 4 9 15 4 16 9 5 2 16 6 2 3 2 2 13 15 16 6 16 0 4 16 16 9 13 16 8 13 9 9 16 10 2 13 14 4 2 7 0 0 15 1 3 6 5 18 6 16 4
20,1.4623765131395978,0,0.0,20,............ 2 0 19 6 3 4 18 10 15 13 11 5 15 3 10 2 14 5 6 2 14 10 4 19 4 4 15 15 10 2 4 4 4 9 15 19 8 16 9 13 6 4 11 5 6 2 15 2 16 12 5 4 9 15 4 19 9 5 2 19 4 2 3 2 2 13 15 19 6 19 0 3 19 16 9 13 16 8 13 9 9 16 10 2 13 14 4 2 7 0 0 15 1 19 4 5 18 6 19 3
21,1.4157566134056208,0,0.0,21,............ 2 0 16 6 3 3 18 10 15 13 11 5 15 3 10 2 14 5 6 2 14 10 4 16 4 4 15 15 10 2 3 4 3 9 15 16 8 20 9 13 6 4 11 5 6 2 15 2 20 12 5 3 9 15 4 16 9 5 2 16 4 2 19 2 2 13 15 16 6 16 0 19 16 20 9 13 20 8 13 9 9 20 10 2 13 14 3 2 7 0 0 15 1 19 4 5 18 6 16 19
22,1.3688009798449736,0,0.0,22,............ 2 0 20 6 19 19 7 10 15 14 11 5 15 19 10 2 18 5 6 2 18 10 4 20 4 4 15 15 10 2 3 4 3 9 15 20 8 13 9 14 6 4 11 5 6 2 15 2 13 21 5 19 9 15 4 20 9 5 2 20 4 2 16 2 2 14 15 20 6 20 0 16 20 13 9 14 13 8 14 9 9 13 10 2 14 18 3 2 12 0 0 15 1 16 4 5 7 6 20 16
23,1.3416374044979487,0,0.0,23,............ 2 0 13 6 16 19 7 10 15 18 11 5 15 16 10 2 22 5 6 2 22 10 4 20 4 4 15 15 10 2 3 4 3 9 15 13 8 14 9 18 6 4 11 5 6 2 15 2 14 21 5 19 9 15 4 13 9 5 2 13 4 2 20 2 2 18 15 13 6 13 0 16 13 13 9 14 14 8 18 9 9 14 10 2 18 22 3 2 12 0 0 15 1 20 4 5 7 6 13 16
