NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,0.8093973847936904,0,0.0,2
3,0.7296077313255835,0,0.0,3
4,0.7036104232729485,0,0.0,4
5,0.5770533875029614,1,0.2,4
6,0.559747488030248,1,0.16666666666666666,5
7,0.6821099027631858,1,0.14285714285714285,6
8,0.5795701367676097,2,0.25,6
9,0.6018585605400545,2,0.2222222222222222,7
10,0.482441010607729,2,0.2,8
11,0.5700550183532505,1,0.09090909090909091,10
12,0.5025120620838943,3,0.25,9
13,0.7025865177981563,1,0.07692307692307693,12
14,0.5683771073035647,2,0.14285714285714285,12
15,0.47875974977808516,2,0.13333333333333333,13
16,0.3627650309645105,5,0.3125,11
17,0.3988778396310715,6,0.35294117647058826,11
18,0.28823486878511273,8,0.4444444444444444,10
19,0.40819492266583174,5,0.2631578947368421,14
20,0.3731744325412138,6,0.3,14
21,0.38072829041469725,8,0.38095238095238093,13
22,0.5324215221168974,4,0.18181818181818182,18
23,0.5306173349577458,6,0.2608695652173913,17
24,0.1978466304886277,13,0.5416666666666666,11
25,0.2497707857203258,10,0.4,15
26,0.46128682056542586,9,0.34615384615384615,17
27,0.18339827322917887,13,0.48148148148148145,14
28,0.20626770576585862,12,0.42857142857142855,16
29,0.3715650416356918,6,0.20689655172413793,23
30,0.19020753773768723,14,0.4666666666666667,16
31,0.3279923599971921,17,0.5483870967741935,14
32,0.30184659611735054,6,0.1875,26
33,0.149221562834201,18,0.5454545454545454,15
34,0.21129420004967694,13,0.38235294117647056,21
35,0.470783512033479,5,0.14285714285714285,30
36,0.15805755325705823,19,0.5277777777777778,17
37,0.5185930973945374,7,0.1891891891891892,30
38,0.3292887700541592,13,0.34210526315789475,25
39,0.3829869125732992,5,0.1282051282051282,34
40,0.22371678784290294,13,0.325,27
41,0.22312571593860392,18,0.43902439024390244,23
42,0.17998079271036208,23,0.5476190476190477,19
43,0.17545021721420795,15,0.3488372093023256,28
44,0.3058598802717404,17,0.38636363636363635,27
45,0.23793249685197201,13,0.28888888888888886,32
46,0.15929610855221693,24,0.5217391304347826,22
47,0.4522564249072081,9,0.19148936170212766,38
48,0.14817496868387023,22,0.4583333333333333,26
49,0.24949151225830285,16,0.32653061224489793,33
50,0.13568660659502893,27,0.54,23
51,0.1780109817299116,21,0.4117647058823529,30
52,0.13754983795636366,24,0.46153846153846156,28
53,0.2783625840901689,18,0.33962264150943394,35
54,0.10205979816368241,35,0.6481481481481481,19
55,0.3343142568426641,12,0.21818181818181817,43
56,0.17706975105175193,18,0.32142857142857145,38
57,0.15148685061003642,37,0.6491228070175439,20
58,0.3987873267218457,8,0.13793103448275862,50
59,0.11289612851270933,32,0.5423728813559322,27
60,0.2724574657641157,29,0.48333333333333334,31
61,0.10065049935631355,39,0.639344262295082,22
62,0.3502957960889266,15,0.24193548387096775,47
63,0.19015452172633593,26,0.4126984126984127,37
64,0.14096694211462937,33,0.515625,31
65,0.11664918522620119,35,0.5384615384615384,30
66,0.3223344227454201,14,0.21212121212121213,52
67,0.2355054272143827,24,0.3582089552238806,43
68,0.10850594627281702,44,0.6470588235294118,24
69,0.2507054961542012,14,0.2028985507246377,55
70,0.23626683086907896,13,0.18571428571428572,57
71,0.22213641263222422,20,0.28169014084507044,51
72,0.3755723932052606,10,0.1388888888888889,62
73,0.06843506732035318,55,0.7534246575342466,18
74,0.12113469932070499,30,0.40540540540540543,44
75,0.17437574039150835,29,0.38666666666666666,46
76,0.10671795638886065,36,0.47368421052631576,40
77,0.19218243883558656,26,0.33766233766233766,51
78,0.18157351052725015,22,0.28205128205128205,56
79,0.40945962561479166,8,0.10126582278481013,71
80,0.0987415574394698,35,0.4375,45
81,0.12247033160826931,34,0.41975308641975306,47
82,0.0819903690001467,56,0.6829268292682927,26
83,0.16928413742800263,29,0.3493975903614458,54
84,0.28567376177009124,32,0.38095238095238093,52
85,0.11647266899178808,36,0.4235294117647059,49
86,0.10151092801162072,40,0.46511627906976744,46
87,0.07821571847538047,59,0.6781609195402298,28
88,0.1595214412719629,24,0.2727272727272727,64
89,0.19551122168927668,23,0.25842696629213485,66
90,0.13762435036951973,32,0.35555555555555557,58
91,0.0952941801967303,51,0.5604395604395604,40
92,0.10977463515443822,41,0.44565217391304346,51
93,0.08666586264044276,50,0.5376344086021505,43
94,0.12795499139858774,39,0.4148936170212766,55
95,0.12076414379787227,44,0.4631578947368421,51
96,0.09934089369913542,44,0.4583333333333333,52
97,0.12030318466171264,42,0.4329896907216495,55
98,0.08892572144362962,53,0.5408163265306123,45
99,0.1299848737525998,29,0.29292929292929293,70
100,0.1786976564909464,35,0.35,65
101,0.21385910163804756,16,0.15841584158415842,85
102,0.15662511740245041,41,0.4019607843137255,61
103,0.2019859015420132,41,0.39805825242718446,62
104,0.11191893781845405,49,0.47115384615384615,55
105,0.12134294353423092,59,0.5619047619047619,46
106,0.16040256881184894,34,0.32075471698113206,72
107,0.2367375924969841,37,0.34579439252336447,70
108,0.34780806921487095,10,0.09259259259259259,98
109,0.09809548071922196,59,0.5412844036697247,50
110,0.10370369543260216,41,0.37272727272727274,69
111,0.0709002456340191,64,0.5765765765765766,47
112,0.2565302711840761,37,0.33035714285714285,75
113,0.1404592183550172,21,0.18584070796460178,92
114,0.0736740058854497,61,0.5350877192982456,53
115,0.16020603910647346,26,0.22608695652173913,89
116,0.2785918887178491,34,0.29310344827586204,82
117,0.09248631852828344,45,0.38461538461538464,72
118,0.10757798393221521,51,0.4322033898305085,67
119,0.07944789886677435,67,0.5630252100840336,52
120,0.1247863683024874,31,0.25833333333333336,89
121,0.21324200491164944,41,0.33884297520661155,80
122,0.18580943533679628,48,0.39344262295081966,74
123,0.08251085178041881,65,0.5284552845528455,58
124,0.1634231687789163,67,0.5403225806451613,57
125,0.18838008303681478,21,0.168,104
126,0.11743393687744573,57,0.4523809523809524,69
127,0.10655578401132926,51,0.4015748031496063,76
128,0.08563576546939966,57,0.4453125,71
129,0.22608327164664732,35,0.2713178294573643,94
130,0.23140076205128138,35,0.2692307692307692,95
131,0.10347047095866894,56,0.42748091603053434,75
132,0.09675430765897597,31,0.23484848484848486,101
133,0.27862818099008074,51,0.38345864661654133,82
134,0.10773812672618246,53,0.39552238805970147,81
135,0.14052390620153782,37,0.2740740740740741,98
136,0.11184633690430443,46,0.3382352941176471,90
137,0.09436829212636477,49,0.35766423357664234,88
138,0.07939170349425706,49,0.35507246376811596,89
139,0.08248219187600046,65,0.4676258992805755,74
140,0.26421899828513495,31,0.22142857142857142,109
141,0.15545668455284978,44,0.3120567375886525,97
142,0.10716524714482986,42,0.29577464788732394,100
143,0.14028038906968995,38,0.26573426573426573,105
144,0.15417757352235012,33,0.22916666666666666,111
145,0.1226374525382552,38,0.2620689655172414,107
146,0.10899492674771372,52,0.3561643835616438,94
147,0.12503944706033965,47,0.3197278911564626,100
148,0.09778655638712071,54,0.36486486486486486,94
149,0.0807810692488185,71,0.47651006711409394,78
150,0.07766211109450889,61,0.4066666666666667,89
151,0.08451402275978728,66,0.4370860927152318,85
152,0.07250696099430819,71,0.46710526315789475,81
153,0.08890145851690387,78,0.5098039215686274,75
154,0.14056148248196743,50,0.3246753246753247,104
155,0.08139995646294046,95,0.6129032258064516,60
156,0.1733126769452698,59,0.3782051282051282,97
157,0.048050882596647554,92,0.5859872611464968,65
158,0.08925603841910892,57,0.36075949367088606,101
159,0.09598564330495046,67,0.42138364779874216,92
160,0.15970577599407337,48,0.3,112
161,0.2216449234450312,26,0.16149068322981366,135
162,0.05811274583241518,74,0.4567901234567901,88
163,0.11478944763869034,59,0.3619631901840491,104
164,0.21960451619394145,70,0.4268292682926829,94
165,0.0911856648180481,51,0.3090909090909091,114
166,0.139283014238015,47,0.28313253012048195,119
167,0.08240195170724529,53,0.31736526946107785,114
168,0.12499605798485297,46,0.27380952380952384,122
169,0.09174891056296428,66,0.3905325443786982,103
170,0.12915624572134288,38,0.2235294117647059,132
171,0.1258253802478425,61,0.3567251461988304,110
172,0.07271865694356841,79,0.45930232558139533,93
173,0.05035664113097274,99,0.5722543352601156,74
174,0.12143953191479427,61,0.3505747126436782,113
175,0.0573490759754539,101,0.5771428571428572,74
176,0.05422943593354189,99,0.5625,77
177,0.19276334800992978,47,0.2655367231638418,130
178,0.18704356569379166,29,0.16292134831460675,149
179,0.043124681083157965,110,0.6145251396648045,69
180,0.07078456235201919,85,0.4722222222222222,95
181,0.07417017825764134,66,0.36464088397790057,115
182,0.21063214036502373,87,0.47802197802197804,95
183,0.15026692026542893,24,0.13114754098360656,159
