NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, group
14,1.2764538242126828,0,0.0,14,............ 6 5 4 5 2 5 7 2 4 10 10 2 1 12 1 1 12 0 6 12 12 2 1 10 13 6 2 1 5 0 1 3 9 10 0 9 0 10 13 12 9 0 12 6 10 4 6 3 1 11 13 6 6 9 3 9 10 1 2 10 10 6 2 13 0 0 2 12 13 9 2 12 6 9 1 7 3 1 12 3 9 9 3 2 9 9 9 3 7 0 1 6 10 6 0 11 12 2 3 5
15,1.2594235104980587,0,0.0,15,............ 6 5 7 5 2 5 8 2 7 10 10 2 1 12 1 1 4 0 6 4 4 2 1 9 13 6 2 1 5 0 1 3 9 9 0 9 0 10 13 4 9 0 4 6 10 7 6 3 1 14 13 6 6 12 3 12 10 1 2 9 10 6 2 13 0 0 2 4 13 12 2 4 6 12 1 8 3 1 4 3 12 9 3 2 12 12 9 3 8 0 1 6 10 6 0 14 4 2 3 5
16,1.249355055158862,0,0.0,16,............ 6 5 15 5 2 5 8 2 7 10 10 2 1 4 1 1 4 0 6 4 15 2 1 9 13 6 2 1 5 0 1 3 9 9 0 9 0 10 13 4 9 0 15 6 10 15 6 3 1 14 13 6 6 4 3 4 10 1 2 9 10 6 2 13 0 0 2 4 13 12 2 4 6 12 1 8 3 1 4 3 12 9 3 2 4 4 9 3 8 0 1 6 10 6 0 14 15 2 3 5
17,1.3151675249747345,0,0.0,17,............ 6 5 7 5 2 5 16 2 8 10 10 2 1 4 1 1 15 0 6 4 15 2 1 9 13 6 2 1 5 0 1 3 9 9 0 9 0 10 13 15 9 0 15 6 10 7 6 3 1 14 13 6 6 4 3 4 10 1 2 9 10 6 2 13 0 0 2 15 13 12 2 15 6 12 1 16 3 1 4 3 12 9 3 2 4 4 9 3 16 0 1 6 10 6 0 14 15 2 3 5
18,1.2889835688501212,0,0.0,18,............ 6 5 7 5 2 5 16 2 8 10 10 2 1 4 1 1 15 0 6 4 15 2 1 17 13 6 2 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 7 6 3 1 14 13 6 6 4 3 4 10 1 2 17 10 6 2 13 0 0 2 15 13 9 2 15 6 12 1 16 3 1 4 3 12 9 3 2 4 4 9 3 16 0 1 6 10 6 0 14 15 2 3 5
19,1.3097122610263234,0,0.0,19,............ 6 5 7 5 2 5 11 2 16 10 10 2 1 4 1 1 15 0 6 4 15 2 1 17 13 6 2 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 7 6 3 1 18 13 6 6 4 3 4 10 1 2 17 10 6 2 13 0 0 2 15 13 9 2 15 6 12 1 11 3 1 4 3 12 9 3 2 4 4 9 3 16 0 1 6 10 6 0 18 15 2 3 5
20,1.2553010966207734,0,0.0,20,............ 6 5 7 5 19 5 11 2 16 10 10 19 1 4 1 1 15 0 6 4 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 7 6 3 1 18 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 9 19 15 6 12 1 11 3 1 4 3 12 9 3 19 4 4 9 3 16 0 1 6 10 6 0 18 15 19 3 5
21,1.2343296685121459,0,0.0,21,............ 6 5 7 5 19 5 11 2 16 10 10 19 1 4 1 1 15 0 6 4 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 7 6 3 1 18 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 11 3 1 4 3 12 9 3 19 4 4 9 3 16 0 1 6 10 6 0 18 15 19 3 5
22,1.2357140063502838,0,0.0,22,............ 6 5 8 5 19 5 21 2 16 10 10 19 1 4 1 1 15 0 6 4 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 18 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 11 3 1 4 3 12 9 3 19 4 4 9 3 11 0 1 6 10 6 0 18 15 19 3 5
23,1.241578760131412,0,0.0,23,............ 6 5 8 5 19 5 21 2 22 10 10 19 1 4 1 1 15 0 6 4 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 18 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 11 3 1 4 3 12 9 3 19 4 4 9 3 11 0 1 6 10 6 0 18 15 19 3 5
24,1.490644229526005,0,0.0,24,............ 6 5 8 5 19 5 21 2 22 10 10 19 1 4 1 1 15 0 6 4 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 23 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 11 3 1 4 3 12 9 3 19 4 4 9 3 11 0 1 6 10 6 0 23 15 19 3 5
25,1.4735154223578066,0,0.0,25,............ 6 5 8 5 19 5 21 2 22 10 10 19 1 4 1 1 15 0 6 4 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 23 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 11 3 1 4 3 12 9 3 19 4 4 9 3 11 0 1 6 10 6 0 23 15 19 3 5
26,1.4816324215894647,0,0.0,26,............ 6 5 8 5 19 5 21 2 22 10 10 19 1 4 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 23 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 11 3 1 25 3 12 9 3 19 4 4 9 3 11 0 1 6 10 6 0 23 15 19 3 5
27,1.465845876450347,0,0.0,27,............ 6 5 8 5 19 5 21 2 22 10 10 19 1 26 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 23 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 11 3 1 25 3 12 9 3 19 4 4 9 3 11 0 1 6 10 6 0 23 15 19 3 5
28,1.4599887683227941,0,0.0,28,............ 6 5 8 5 19 5 14 2 11 10 10 19 1 26 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 27 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 21 3 1 25 3 12 9 3 19 4 4 9 3 21 0 1 6 10 6 0 27 15 19 3 5
29,1.4348428204756727,0,0.0,29,............ 6 5 8 5 19 5 23 2 21 10 10 19 1 26 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 18 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 14 3 1 25 3 12 9 3 19 4 4 9 3 14 0 1 6 10 6 0 18 15 19 3 5
30,1.5431195001276472,0,0.0,30,............ 6 5 8 5 19 5 14 2 21 10 10 19 1 26 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 18 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 29 3 1 25 3 12 9 3 19 4 4 9 3 29 0 1 6 10 6 0 18 15 19 3 5
