NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups
2,1.3592478254187252,0,0.0,2
3,1.7499232492079495,0,0.0,3
4,1.6349935974674807,0,0.0,4
5,1.426122934558353,0,0.0,5
6,1.5107902404038949,0,0.0,6
7,1.4755188155492462,0,0.0,7
8,1.4375980211980353,0,0.0,8
9,1.4768067370159756,0,0.0,9
10,1.3696926533268858,1,0.1,9
11,1.06239121974709,3,0.2727272727272727,8
12,1.3341745372892655,1,0.08333333333333333,11
13,1.2230903932966928,2,0.15384615384615385,11
14,1.1495982859997793,2,0.14285714285714285,12
15,1.0110607412531702,5,0.3333333333333333,10
16,0.9151563123596823,4,0.25,12
17,1.0348261575845468,4,0.23529411764705882,13
18,0.9459841391612236,5,0.2777777777777778,13
19,0.861725479877645,7,0.3684210526315789,12
20,0.8026326941195028,9,0.45,11
21,0.8942245277766936,6,0.2857142857142857,15
22,0.9225514538103161,8,0.36363636363636365,14
23,0.9024176759004519,7,0.30434782608695654,16
24,0.8469199149904841,8,0.3333333333333333,16
25,0.8158037340944466,9,0.36,16
26,0.7918361535861392,10,0.38461538461538464,16
27,0.6460824389293895,12,0.4444444444444444,15
28,0.6633572423320725,14,0.5,14
29,0.5766109609209601,16,0.5517241379310345,13
30,0.6577419757792373,12,0.4,18
31,0.6471679670446693,14,0.45161290322580644,17
32,0.5939204620428579,16,0.5,16
33,0.5650798933285042,18,0.5454545454545454,15
34,0.6101726076985128,16,0.47058823529411764,18
35,0.5406638824364489,18,0.5142857142857142,17
36,0.5226733997964248,20,0.5555555555555556,16
37,0.4935906569070212,21,0.5675675675675675,16
38,0.5663492447600049,19,0.5,19
39,0.5048972038896185,20,0.5128205128205128,19
40,0.4708888902857947,24,0.6,16
41,0.5196650387292588,21,0.5121951219512195,20
42,0.47097062522440225,24,0.5714285714285714,18
43,0.5922277785537993,17,0.3953488372093023,26
44,0.5138850155926911,21,0.4772727272727273,23
45,0.475200295618867,24,0.5333333333333333,21
46,0.49994876607614347,23,0.5,23
47,0.5094157804437756,27,0.574468085106383,20
48,0.3898829532120931,31,0.6458333333333334,17
49,0.49961945647872985,27,0.5510204081632653,22
50,0.4777631235201137,27,0.54,23
51,0.4120330214416786,32,0.6274509803921569,19
52,0.43908868922889965,33,0.6346153846153846,19
53,0.3791501771939187,35,0.660377358490566,18
54,0.3727178926330377,36,0.6666666666666666,18
55,0.4132124420124128,34,0.6181818181818182,21
56,0.44829141398681016,29,0.5178571428571429,27
57,0.34351918245906293,38,0.6666666666666666,19
58,0.40071793100630215,38,0.6551724137931034,20
59,0.44421062024166946,32,0.5423728813559322,27
60,0.40521760129365436,38,0.6333333333333333,22
61,0.3858414433688683,37,0.6065573770491803,24
62,0.4051303167872739,39,0.6290322580645161,23
63,0.411257495692004,36,0.5714285714285714,27
64,0.44836412513816315,33,0.515625,31
65,0.3960618104700177,40,0.6153846153846154,25
66,0.3904431864104598,45,0.6818181818181818,21
67,0.400777286949891,41,0.6119402985074627,26
68,0.3597261884110913,41,0.6029411764705882,27
69,0.38191147322513275,42,0.6086956521739131,27
70,0.33227395645138524,45,0.6428571428571429,25
71,0.4470377808079673,38,0.5352112676056338,33
72,0.4230004986585289,44,0.6111111111111112,28
73,0.34762420584954357,47,0.6438356164383562,26
74,0.3432332057822681,53,0.7162162162162162,21
75,0.33586345528447753,47,0.6266666666666667,28
76,0.33182554773879547,53,0.6973684210526315,23
77,0.3602422897863193,51,0.6623376623376623,26
78,0.3463594320481455,50,0.6410256410256411,28
79,0.3549625763949582,52,0.6582278481012658,27
80,0.3627019639992371,51,0.6375,29
81,0.3571232183469104,45,0.5555555555555556,36
82,0.29586316396383294,57,0.6951219512195121,25
83,0.34165457090619494,56,0.6746987951807228,27
84,0.304107856462894,58,0.6904761904761905,26
85,0.3132766024101588,62,0.7294117647058823,23
86,0.30991320271379913,58,0.6744186046511628,28
87,0.3041169397055078,60,0.6896551724137931,27
88,0.36060701906010667,58,0.6590909090909091,30
89,0.31734085009788504,58,0.651685393258427,31
90,0.3680777360610043,43,0.4777777777777778,47
91,0.32426586223577364,61,0.6703296703296703,30
92,0.3081841572479589,63,0.6847826086956522,29
93,0.2826948389639791,63,0.6774193548387096,30
94,0.2950296295549574,68,0.723404255319149,26
95,0.251665789937166,72,0.7578947368421053,23
96,0.2864402187617451,66,0.6875,30
97,0.3390757446269891,60,0.6185567010309279,37
98,0.35492987068178106,60,0.6122448979591837,38
99,0.3377616800114919,67,0.6767676767676768,32
100,0.2721333313145307,69,0.69,31
101,0.3462517739769246,59,0.5841584158415841,42
102,0.29384093304860687,63,0.6176470588235294,39
103,0.2567225353794278,77,0.7475728155339806,26
104,0.2822830144566937,75,0.7211538461538461,29
105,0.31800087185993076,69,0.6571428571428571,36
106,0.2735929848547396,80,0.7547169811320755,26
107,0.29273947066463196,74,0.6915887850467289,33
108,0.33512192314326367,67,0.6203703703703703,41
109,0.3124146919049101,78,0.7155963302752294,31
110,0.25364286915279133,86,0.7818181818181819,24
111,0.2606132066273589,80,0.7207207207207207,31
112,0.33596320579180244,79,0.7053571428571429,33
113,0.2860661110626786,76,0.672566371681416,37
114,0.29783577882800416,74,0.6491228070175439,40
115,0.27104884196626244,88,0.7652173913043478,27
116,0.25357697274653324,83,0.7155172413793104,33
117,0.25674427609143624,86,0.7350427350427351,31
118,0.2792743374002553,85,0.7203389830508474,33
119,0.249905212228613,92,0.773109243697479,27
120,0.286908177646797,88,0.7333333333333333,32
121,0.24838250990103142,93,0.768595041322314,28
122,0.2631990564545107,85,0.6967213114754098,37
123,0.27565021204949997,87,0.7073170731707317,36
124,0.28519612165870384,85,0.6854838709677419,39
