NumberOfGroups, ComputingTime
2 , 0.0047
3 , 0.0058
4 , 0.0087
5 , 0.0108
6 , 0.0138
7 , 0.0206
8 , 0.0186
9 , 0.0218
10 , 0.0239
11 , 0.0297
12 , 0.0374
13 , 0.0395
14 , 0.0568
15 , 0.0621
16 , 0.0718
17 , 0.0761
18 , 0.0942
19 , 0.095
20 , 0.11
21 , 0.1044
22 , 0.1077
23 , 0.1075
24 , 0.118
25 , 0.1136
26 , 0.1261
27 , 0.1461
28 , 0.1411
29 , 0.1449
30 , 0.1499
31 , 0.169
32 , 0.1596
33 , 0.1587
34 , 0.1564
35 , 0.1745
36 , 0.189
37 , 0.1741
38 , 0.1745
39 , 0.2067
40 , 0.214
41 , 0.1996
42 , 0.2052
43 , 0.2048
44 , 0.239
45 , 0.2161
46 , 0.2798
47 , 0.2604
48 , 0.2413
49 , 0.2564
50 , 0.2306
51 , 0.2816
52 , 0.232
53 , 0.2697
54 , 0.2564
55 , 0.2591
56 , 0.2663
57 , 0.2354
58 , 0.2386
59 , 0.2675
60 , 0.2283
61 , 0.2336
62 , 0.2451
63 , 0.2253
64 , 0.2161
65 , 0.2087
66 , 0.2296
67 , 0.2452
68 , 0.2165
69 , 0.2367
70 , 0.2083
71 , 0.2296
72 , 0.2195
73 , 0.2369
74 , 0.2514
75 , 0.2546
76 , 0.2657
77 , 0.2173
78 , 0.2514
79 , 0.2137
80 , 0.2355
81 , 0.1963
82 , 0.2515
83 , 0.2308
84 , 0.271
85 , 0.2326
86 , 0.3021
87 , 0.2619
88 , 0.2067
89 , 0.2656
90 , 0.2875
91 , 0.2206
92 , 0.2683
93 , 0.2196
94 , 0.2994
95 , 0.2192
96 , 0.2263
97 , 0.2555
98 , 0.2393
99 , 0.2734
100 , 0.3024
101 , 0.2383
102 , 0.2398
103 , 0.2799
104 , 0.2236
105 , 0.2338
106 , 0.2505
107 , 0.2924
108 , 0.2757
109 , 0.2346
110 , 0.2402
111 , 0.2421
112 , 0.2783
113 , 0.2688
114 , 0.2436
115 , 0.2169
116 , 0.2474
117 , 0.2655
118 , 0.2658
119 , 0.2648
120 , 0.3039
121 , 0.2908
122 , 0.2356
123 , 0.2523
124 , 0.2628
125 , 0.261
126 , 0.3119
127 , 0.2649
128 , 0.2632
129 , 0.2653
130 , 0.2703
131 , 0.2373
132 , 0.2452
133 , 0.2153
134 , 0.2233
135 , 0.2345
136 , 0.2863
137 , 0.229
138 , 0.2533
139 , 0.2394
140 , 0.2687
141 , 0.2363
142 , 0.2247
143 , 0.2586
144 , 0.2621
145 , 0.2664
146 , 0.2047
147 , 0.2509
148 , 0.3043
149 , 0.2294
150 , 0.2878
151 , 0.2538
152 , 0.2835
153 , 0.2675
154 , 0.234
155 , 0.2403
156 , 0.24
157 , 0.2487
158 , 0.2938
159 , 0.2805
160 , 0.2782
161 , 0.268
162 , 0.2564
163 , 0.2635
164 , 0.2522
165 , 0.2384
166 , 0.2066
167 , 0.2461
168 , 0.2446
169 , 0.2804
170 , 0.3026
171 , 0.2539
172 , 0.2644
173 , 0.2451
174 , 0.2492
175 , 0.2151
176 , 0.2061
177 , 0.2538
178 , 0.2452
179 , 0.2858
180 , 0.2585
181 , 0.2552
182 , 0.2373
183 , 0.255
184 , 0.2157
185 , 0.2469
186 , 0.299
187 , 0.2822
188 , 0.2645
189 , 0.2439
190 , 0.2434
191 , 0.2856
192 , 0.256
193 , 0.2595
194 , 0.2629
195 , 0.2511
196 , 0.251
197 , 0.2842
198 , 0.2208
199 , 0.2442
200 , 0.2591
201 , 0.2281
