NumberOfGroups, ComputingTime
2 , 0.005
3 , 0.0054
4 , 0.0092
5 , 0.0103
6 , 0.0153
7 , 0.0199
8 , 0.018
9 , 0.024
10 , 0.0256
11 , 0.0282
12 , 0.0402
13 , 0.0381
14 , 0.0504
15 , 0.059
16 , 0.0677
17 , 0.0808
18 , 0.0867
19 , 0.0912
20 , 0.1158
21 , 0.1121
22 , 0.1147
23 , 0.1049
24 , 0.109
25 , 0.1221
26 , 0.1312
27 , 0.1351
28 , 0.141
29 , 0.1553
30 , 0.1458
31 , 0.1529
32 , 0.1717
33 , 0.1602
34 , 0.1814
35 , 0.1816
36 , 0.1669
37 , 0.1953
38 , 0.204
39 , 0.211
40 , 0.1921
41 , 0.234
42 , 0.2189
43 , 0.2188
44 , 0.2307
45 , 0.2244
46 , 0.2304
47 , 0.2694
48 , 0.2527
49 , 0.2417
50 , 0.2317
51 , 0.2611
52 , 0.2301
53 , 0.22
54 , 0.2728
55 , 0.2307
56 , 0.217
57 , 0.2186
58 , 0.2271
59 , 0.2388
60 , 0.2625
61 , 0.2308
62 , 0.2376
63 , 0.2484
64 , 0.2404
65 , 0.2048
66 , 0.2312
67 , 0.2249
68 , 0.2809
69 , 0.1876
70 , 0.2074
71 , 0.2659
72 , 0.2105
73 , 0.2424
74 , 0.2567
75 , 0.1857
76 , 0.2405
77 , 0.2213
78 , 0.2273
79 , 0.2186
80 , 0.2433
81 , 0.2319
82 , 0.2882
83 , 0.2288
84 , 0.2288
85 , 0.25
86 , 0.3393
87 , 0.3308
88 , 0.2246
89 , 0.2374
90 , 0.256
91 , 0.2767
92 , 0.2556
93 , 0.2502
94 , 0.2019
95 , 0.2652
96 , 0.2353
97 , 0.2879
98 , 0.2663
99 , 0.2608
100 , 0.2574
101 , 0.1939
102 , 0.2675
103 , 0.2805
104 , 0.2397
105 , 0.2514
106 , 0.2553
107 , 0.277
108 , 0.2366
109 , 0.2971
110 , 0.2361
111 , 0.3321
112 , 0.2319
113 , 0.2202
114 , 0.2782
115 , 0.3023
116 , 0.2671
117 , 0.261
118 , 0.2801
119 , 0.3112
120 , 0.2742
121 , 0.2998
122 , 0.2859
123 , 0.245
124 , 0.2364
125 , 0.2672
126 , 0.2997
127 , 0.2335
128 , 0.2759
129 , 0.256
130 , 0.2476
131 , 0.2669
132 , 0.2442
133 , 0.252
134 , 0.2541
135 , 0.2388
136 , 0.2688
137 , 0.3095
138 , 0.2537
139 , 0.2658
140 , 0.2134
141 , 0.2641
142 , 0.2458
143 , 0.2514
144 , 0.2608
145 , 0.2633
146 , 0.2734
147 , 0.2267
148 , 0.2408
149 , 0.2512
150 , 0.3014
151 , 0.2618
152 , 0.276
153 , 0.3052
154 , 0.2946
155 , 0.2684
156 , 0.2753
157 , 0.2636
158 , 0.2318
159 , 0.2318
160 , 0.2568
161 , 0.3276
162 , 0.261
163 , 0.2657
164 , 0.2505
165 , 0.2349
166 , 0.2175
167 , 0.2427
168 , 0.2478
169 , 0.2345
170 , 0.2052
171 , 0.28
172 , 0.2076
173 , 0.2524
174 , 0.2655
175 , 0.2343
176 , 0.2168
177 , 0.2341
178 , 0.2516
179 , 0.2439
180 , 0.2282
181 , 0.2449
182 , 0.2646
183 , 0.2545
184 , 0.2505
185 , 0.2463
186 , 0.2218
187 , 0.2311
188 , 0.2688
189 , 0.2165
190 , 0.3234
191 , 0.3268
192 , 0.2539
193 , 0.2556
194 , 0.2557
195 , 0.248
196 , 0.2305
197 , 0.2467
198 , 0.2121
199 , 0.2071
200 , 0.3753
201 , 0.2723
