NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, group
16,0.8618220781686632,0,0.0,16,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
17,0.8618220781686632,0,0.0,17,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
18,0.8618220781686632,0,0.0,18,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
19,0.8618220781686632,0,0.0,19,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
20,0.8618220781686632,0,0.0,20,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
21,0.8618220781686632,0,0.0,21,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
22,0.8618220781686632,0,0.0,22,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
23,0.8618220781686632,0,0.0,23,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
24,0.8618220781686632,0,0.0,24,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
25,0.8618220781686632,0,0.0,25,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
